"base_gene_src","base_id_src","base_gene_dest","base_id_dest","pathway","database"
"TP53","ENTREZID","SESN3","ENTREZID","Cellular Processes-Cell growth and death-p53 signaling pathway","kegg"
"TP53","ENTREZID","RCHY1","ENTREZID","Cellular Processes-Cell growth and death-p53 signaling pathway","kegg"
"GADD45G","ENTREZID","CCNB1","ENTREZID","Cellular Processes-Cell growth and death-p53 signaling pathway","kegg"
"BBC3","ENTREZID","TP53AIP1","ENTREZID","Cellular Processes-Cell growth and death-p53 signaling pathway","kegg"
"SIVA1","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-p53 signaling pathway","kegg"
"SIVA1","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-p53 signaling pathway","kegg"
"F2","ENTREZID","F2R","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ACTB","ENTREZID","TMSB4X","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"WASL","ENTREZID","ARPC5","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ACTB","ENTREZID","ARPC5","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ACTB","ENTREZID","PFN3","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"BAIAP2","ENTREZID","WASF2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"WASF2","ENTREZID","ARPC5","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"APC2","ENTREZID","SPATA13","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CDC42","ENTREZID","WASL","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"SPATA13","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RAC1","ENTREZID","BAIAP2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"SSH1","ENTREZID","CFL1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"LIMK1","ENTREZID","CFL1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ACTB","ENTREZID","CFL1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PAK4","ENTREZID","LIMK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ROCK1","ENTREZID","LIMK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PIKFYVE","ENTREZID","GSN","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"VCL","ENTREZID","PIKFYVE","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"DIAPH1","ENTREZID","PFN3","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RHOA","ENTREZID","DIAPH1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ROCK1","ENTREZID","PIKFYVE","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PIKFYVE","ENTREZID","VCL","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PIKFYVE","ENTREZID","ACTN4","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"SLC9A1","ENTREZID","MSN","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"GIT1","ENTREZID","PXN","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ROCK1","ENTREZID","SLC9A1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ROCK1","ENTREZID","PPP1R12A","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PPP1R12A","ENTREZID","MYL12B","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ROCK1","ENTREZID","MYL12B","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"MYLK4","ENTREZID","MYL12B","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"MYH9","ENTREZID","MYL12B","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PAK4","ENTREZID","MYLK4","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ARHGEF7","ENTREZID","GIT1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"BAIAP2","ENTREZID","ENAH","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"DIAPH3","ENTREZID","BAIAP2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CDC42","ENTREZID","DIAPH3","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RHOA","ENTREZID","ROCK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"MAPK1","ENTREZID","ROCK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CDC42","ENTREZID","PAK4","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RAC1","ENTREZID","PAK4","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PAK4","ENTREZID","ARHGEF7","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"GNG12","ENTREZID","PAK4","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ARHGEF7","ENTREZID","ARHGEF12","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ARHGEF7","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"FGD1","ENTREZID","CDC42","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CDC42","ENTREZID","IQGAP2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RAC1","ENTREZID","IQGAP2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"DOCK1","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RHOA","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ARHGEF6","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RAC1","ENTREZID","ABI2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RAC1","ENTREZID","NCKAP1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RAC1","ENTREZID","CYFIP1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"VAV3","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ARHGEF12","ENTREZID","RHOA","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ARHGAP35","ENTREZID","RHOA","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RGCC","ENTREZID","RHOA","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"GNA13","ENTREZID","ARHGEF12","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"SRC","ENTREZID","ARHGAP35","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"VAV3","ENTREZID","PIK3CA","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ARAF","ENTREZID","MAP2K1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RRAS2","ENTREZID","ARAF","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"RRAS2","ENTREZID","ARHGEF6","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"BCAR1","ENTREZID","DOCK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CRK","ENTREZID","DOCK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"PTK2","ENTREZID","DOCK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"GNG12","ENTREZID","FGD1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CHRM1","ENTREZID","GNG12","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"KNG1","ENTREZID","CHRM1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ITGA11","ENTREZID","SRC","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ITGA11","ENTREZID","BCAR1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ITGA11","ENTREZID","CRK","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ITGA11","ENTREZID","PTK2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"FN1","ENTREZID","ITGA11","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"SOS1","ENTREZID","RRAS2","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"F2R","ENTREZID","GNA13","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"LPAR1","ENTREZID","GNA13","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CXCR4","ENTREZID","GNA13","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"EGFR","ENTREZID","SOS1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"INS","ENTREZID","EGFR","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"EGF","ENTREZID","EGFR","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"MYH9","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"WASF1","ENTREZID","ARPC5","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"BRK1","ENTREZID","ARPC5","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CXCL12","ENTREZID","CXCR4","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"C5","ENTREZID","AKT3","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"AKT3","ENTREZID","RGCC","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ABI2","ENTREZID","WASF1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"ABI2","ENTREZID","BRK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"NCKAP1","ENTREZID","WASF1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"NCKAP1","ENTREZID","BRK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CYFIP1","ENTREZID","WASF1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CYFIP1","ENTREZID","BRK1","ENTREZID","Cellular Processes-Cell motility-Regulation of actin cytoskeleton","kegg"
"CTNNA1","ENTREZID","TJP1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNNA1","ENTREZID","AFDN","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNNA1","ENTREZID","VCL","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNNA1","ENTREZID","ACTN4","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNNA1","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNNA1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"MET","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"EGFR","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"FER","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"FYN","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"YES1","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNND1","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CDH1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CDH1","ENTREZID","CDH1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"LEF1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"MAP3K7","ENTREZID","NLK","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"YES1","ENTREZID","FER","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"YES1","ENTREZID","FYN","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"FYN","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"FER","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"FGFR1","ENTREZID","SNAI1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"TGFBR1","ENTREZID","SNAI1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"MAPK1","ENTREZID","SNAI2","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"EGFR","ENTREZID","MAPK1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"TGFBR1","ENTREZID","SMAD4","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"TGFBR1","ENTREZID","SMAD3","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"EGFR","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"MET","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"IGF1R","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CSNK2A1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"PTPRJ","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"PTPN6","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"PTPN1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"PTPRF","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"PTPRB","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"PTPRM","ENTREZID","CTNND1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"PTPRM","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACP1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNND1","ENTREZID","RHOA","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"RHOA","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"WAS","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CDC42","ENTREZID","WAS","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"WASL","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CDC42","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"SRC","ENTREZID","RAC1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"RAC1","ENTREZID","IQGAP1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"RAC1","ENTREZID","WASF2","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CDC42","ENTREZID","IQGAP1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"FARP2","ENTREZID","CDC42","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACTB","ENTREZID","TJP1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACTB","ENTREZID","AFDN","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACTB","ENTREZID","ACTN4","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACTB","ENTREZID","VCL","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"WASF2","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"BAIAP2","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"IQGAP1","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"AFDN","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACTB","ENTREZID","CTNNA1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"VCL","ENTREZID","SORBS1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"SORBS1","ENTREZID","AFDN","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACTN4","ENTREZID","SSX2IP","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ACTN4","ENTREZID","LMO7","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"SSX2IP","ENTREZID","AFDN","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"LMO7","ENTREZID","AFDN","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"AFDN","ENTREZID","NECTIN3","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNNB1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"SRC","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"IQGAP1","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"NECTIN3","ENTREZID","NECTIN3","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"NECTIN3","ENTREZID","SRC","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"SRC","ENTREZID","FARP2","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"NECTIN3","ENTREZID","PARD3","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CDH5","ENTREZID","CDH5","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CDH5","ENTREZID","CTNNB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CTNNB1","ENTREZID","CCM2","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CCM2","ENTREZID","PDCD10","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"CCM2","ENTREZID","SMURF1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"KRIT1","ENTREZID","CCM2","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"HEG1","ENTREZID","KRIT1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"KRIT1","ENTREZID","RAP1A","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"SMURF1","ENTREZID","RHOA","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ARHGAP29","ENTREZID","RHOA","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"RAP1A","ENTREZID","RASIP1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"RAP1A","ENTREZID","RADIL","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"RASIP1","ENTREZID","RASIP1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"RASIP1","ENTREZID","RADIL","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ARHGAP29","ENTREZID","RASIP1","ENTREZID","Cellular Processes-Cellular community - eukaryotesAdherens junction","kegg"
"ITGB1","ENTREZID","CAV1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ITGB1","ENTREZID","PTK2","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ITGB1","ENTREZID","SRC","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ITGB1","ENTREZID","PRKCA","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"EMP2","ENTREZID","ITGB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"FLNA","ENTREZID","ITGB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"FLNA","ENTREZID","ITGA11","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"CDC42","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"MYL12B","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"DIAPH1","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ILK","ENTREZID","AKT3","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"AKT3","ENTREZID","GSK3B","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PIK3CA","ENTREZID","AKT3","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PIK3CA","ENTREZID","PDPK1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PARVB","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PARVB","ENTREZID","ILK","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PXN","ENTREZID","PARVB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PARVB","ENTREZID","ITGB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PARVB","ENTREZID","ITGA11","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ILK","ENTREZID","PXN","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PIK3CA","ENTREZID","ILK","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PIP5K1C","ENTREZID","VCL","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"VCL","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PXN","ENTREZID","VCL","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"VCL","ENTREZID","TLN1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"VCL","ENTREZID","ACTN4","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"VASP","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"VASP","ENTREZID","ITGB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"VASP","ENTREZID","ITGA11","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PTEN","ENTREZID","PTK2","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"HRAS","ENTREZID","PIK3CA","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"EGFR","ENTREZID","PIK3CA","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PTK2","ENTREZID","PIK3CA","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PIK3CA","ENTREZID","VAV3","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"TLN1","ENTREZID","ITGB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"TLN1","ENTREZID","ITGA11","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"CAPN2","ENTREZID","TLN1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ZYX","ENTREZID","ACTN4","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ZYX","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PIP5K1C","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"RHOA","ENTREZID","PIP5K1C","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ACTN4","ENTREZID","ITGB1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"ACTN4","ENTREZID","ITGA11","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PTK2","ENTREZID","BCAR1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PTK2","ENTREZID","CAPN2","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PTK2","ENTREZID","SRC","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"EGFR","ENTREZID","PTK2","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PTK2","ENTREZID","PXN","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PRKCA","ENTREZID","PTK2","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
"PTK2","ENTREZID","RASGRF1","ENTREZID","Cellular Processes-Cellular community - eukaryotesFocal adhesion","kegg"
